,,,1日目 11時台,12,13,14,15,16,17,18,19,21,
タイムスタンプ,バンド名,出演枠,全ての時間でどちらかを選択 [10-11],全ての時間でどちらかを選択 [12-13],全ての時間でどちらかを選択 [13-14],全ての時間でどちらかを選択 [14-15],全ての時間でどちらかを選択 [15-16],全ての時間でどちらかを選択 [16-17],全ての時間でどちらかを選択 [17-18],全ての時間でどちらかを選択 [18-19],全ての時間でどちらかを選択 [19-20],全ての時間でどちらかを選択 [21-22],備考
2026/02/24 15:55:02,Empty old City,10分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,俺のことは好きに使ってくれ,
2026/02/26 8:20:54,Extreme,20分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,,
2026/02/27 10:19:57,King Gnu,15分枠,出演不可,出演不可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,,
2026/02/24 13:30:47,MONOEYES,15分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演不可,出演不可,出演不可,17-17:30可,
2026/02/24 18:02:10,PK shampoo,20分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,,
2026/02/26 13:46:29,Rage against the Machine,20分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,,
2026/02/26 14:02:20,VOCALOID feat. 初音ミク,15分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,,
2026/02/26 8:21:24,アコギ洋楽オムニ,15分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,,
2026/02/24 14:19:16,バズマザーズ,15分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演不可,出演不可,18:30-以降出演不可です,
2026/02/25 21:06:25,ヨルシカ,20分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演不可,出演不可,一応、18:30まで行けます！,
2026/02/24 18:01:54,リーガルリリー,20分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演不可,18:30まで出演可能です！,
2026/02/25 10:32:59,男スリピポルカ,15分枠,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,出演可,,
